movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month
tt4117194,Invisible Men,Invisible Men,2015.0,drama,5.8,8.0,2.1972245773362196,,2015-07-01,,,,,7.0
tt4259760,Invisible Scars,Invisible Scars,2015.0,"documentary,drama",8.3,6.0,1.9459101490553132,,2015-07-01,,,,,7.0
tt7689532,Invisible Sue,Invisible Sue,2018.0,"adventure,fantasy",8.3,15.0,2.772588722239781,,2018-07-01,,,,,7.0
tt7265686,Invisible World,Invisible World,2017.0,action,8.4,19.0,2.995732273553991,,2017-07-01,,,,,7.0
tt8633950,Invisibles,Les invisibles,2018.0,"comedy,drama",6.7,371.0,5.918893854273146,,2018-07-01,,,,,7.0
tt6209540,Invitation,Davat Nameh,2017.0,drama,4.3,28.0,3.367295829986474,,2017-07-01,,,,,7.0
tt5671266,Invitation sur le Plateau,Invitation sur le Plateau,2016.0,documentary,9.0,7.0,2.0794415416798357,,2016-07-01,,,,,7.0
tt3837162,Invoked,Invoked,2015.0,"horror,mystery,thriller",3.4,579.0,6.363028103540465,,2015-07-01,,,,,7.0
tt7475886,Invoking 4,Invoking 4,2017.0,horror,1.7,12.0,2.5649493574615367,,2017-07-01,,,,,7.0
tt8671462,Invoking 5,Invoking 5,2018.0,horror,2.9,111.0,4.718498871295094,,2018-07-01,,,,,7.0
tt5730248,Involution,Involution,2018.0,"drama,sci-fi,thriller",4.2,144.0,4.976733742420574,,2018-07-01,,,,,7.0
tt7648416,Io c'è,Io c'è,2018.0,comedy,6.3,620.0,6.431331081933479,,2018-07-01,,,,,7.0
tt4835394,Io che amo solo te,Io che amo solo te,2015.0,comedy,5.6,414.0,6.028278520230698,,2015-07-01,,,,,7.0
tt8972442,Io sono Mia,Io sono Mia,2019.0,biography,7.2,124.0,4.8283137373023015,,2019-07-01,,,,,7.0
tt6917314,Io sono Tempesta,Io sono Tempesta,2018.0,"comedy,drama",6.0,570.0,6.3473892096560105,,2018-07-01,,,,,7.0
tt6507448,Io sono Valentina Nappi,Io sono Valentina Nappi,2018.0,documentary,7.5,11.0,2.4849066497880004,,2018-07-01,,,,,7.0
tt4600312,Iona,Iona,2015.0,drama,5.3,239.0,5.480638923341991,,2015-07-01,,,,,7.0
tt2888046,Ip Man 3,Yip Man 3,2015.0,"action,biography,drama",7.1,38637.0,10.561991527152498,12.11,2015-07-01,,,,,7.0
tt7179474,Ippadai Vellum,Ippadai Vellum,2017.0,"action,comedy",5.8,255.0,5.545177444479562,,2017-07-01,,,,,7.0
tt5464598,Iqaluit,Iqaluit,2016.0,drama,6.4,69.0,4.248495242049359,,2016-07-01,,,,,7.0
tt5822910,Iqbal & superchippen,Iqbal & superchippen,2016.0,family,5.4,67.0,4.219507705176107,,2016-07-01,,,,,7.0
