movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month,release_month_name,main_genre
tt1213641,First Man,First Man,2018.0,"biography,drama,history",7.4,120009.0,11.695330351625486,22.958,2018-07-01,60000000.0,44936545.0,105203825.0,0.7533970833333333,7.0,Jul,biography
tt7027210,First Man,First Man,2017.0,documentary,6.6,186.0,5.231108616854587,22.958,2017-07-01,60000000.0,44936545.0,105203825.0,0.7533970833333333,7.0,Jul,documentary
tt6053438,First Reformed,First Reformed,2017.0,"drama,mystery,thriller",7.1,33542.0,10.420583476815478,12.943,2017-07-01,3500000.0,3448256.0,3874772.0,0.10707771428571429,7.0,Jul,drama
tt3401882,Fist Fight,Fist Fight,2017.0,comedy,5.6,35136.0,10.467009985302088,9.808,2017-07-01,25000000.0,32187017.0,40286416.0,0.61145664,7.0,Jul,comedy
tt2039338,Flatliners,Flatliners,2017.0,"drama,horror,mystery",5.2,33752.0,10.426824581239181,9.844,2017-07-01,26000000.0,61308153.0,61308153.0,1.3580058846153846,7.0,Jul,drama
tt2388050,Flipped,Flipped,2015.0,"drama,thriller",6.0,440.0,6.089044875446846,9.781,2015-07-01,14000000.0,1755212.0,4289993.0,-0.6935719285714286,7.0,Jul,drama
tt4136084,Florence Foster Jenkins,Florence Foster Jenkins,2016.0,"biography,comedy,drama",6.8,44970.0,10.713773116564434,8.453,2016-07-01,29000000.0,27383770.0,56000339.0,0.9310461724137931,7.0,Jul,biography
tt2381941,Focus,Focus,2015.0,"comedy,crime,drama",6.6,192147.0,12.166021187403823,10.704,2015-07-01,65000000.0,53862963.0,168065700.0,1.5856261538461538,7.0,Jul,comedy
tt4103724,Forever My Girl,Forever My Girl,2018.0,"drama,music,romance",6.7,10316.0,9.241548299100376,15.953,2018-07-01,3500000.0,16376066.0,16376066.0,3.678876,7.0,Jul,drama
tt2271563,Forsaken,Forsaken,2015.0,"action,drama,western",6.3,9199.0,9.126958763037132,9.472,2015-07-01,18000000.0,0.0,0.0,-1.0,7.0,Jul,action
tt2700194,Forsaken,Prishelets,2018.0,"adventure,drama,sci-fi",3.1,129.0,4.867534450455582,9.472,2018-07-01,18000000.0,0.0,0.0,-1.0,7.0,Jul,adventure
tt4798436,Forsaken,Forsaken,2015.0,drama,4.6,13.0,2.639057329615259,9.472,2015-07-01,18000000.0,0.0,0.0,-1.0,7.0,Jul,drama
tt5127300,Forsaken,Forsaken,2016.0,horror,2.1,502.0,6.220590170099739,9.472,2016-07-01,18000000.0,0.0,0.0,-1.0,7.0,Jul,horror
tt5811154,Forsaken,Forsaken,2017.0,thriller,5.0,76.0,4.343805421853684,9.472,2017-07-01,18000000.0,0.0,0.0,-1.0,7.0,Jul,thriller
tt4086032,Frankenstein,Frankenstein,2015.0,"horror,sci-fi,thriller",5.1,2089.0,7.644919344958857,3.989,2015-07-01,45000000.0,22006296.0,112006296.0,1.4890288,7.0,Jul,horror
tt1817771,Freaks of Nature,Freaks of Nature,2015.0,"comedy,horror,sci-fi",5.9,9670.0,9.176886995716963,9.31,2015-07-01,33000000.0,70958.0,70958.0,-0.9978497575757576,7.0,Jul,comedy
tt4158096,Free Fire,Free Fire,2016.0,"action,comedy,crime",6.4,35954.0,10.490023435536594,12.116,2016-07-01,10000000.0,1799322.0,3793739.0,-0.6206261,7.0,Jul,action
tt1124037,Free State of Jones,Free State of Jones,2016.0,"action,biography,drama",6.9,45135.0,10.717435433241777,8.574,2016-07-01,50000000.0,20810036.0,23237252.0,-0.53525496,7.0,Jul,action
tt1658801,Freeheld,Freeheld,2015.0,"biography,drama,romance",6.5,10534.0,9.26245832623829,7.313,2015-07-01,7000000.0,546201.0,1732228.0,-0.7525388571428572,7.0,Jul,biography
tt3352390,Friend Request,Friend Request,2016.0,"horror,thriller",5.3,21704.0,9.985297927733694,2.107,2016-07-01,9900000.0,3759078.0,11310835.0,0.14250858585858586,7.0,Jul,horror
tt4859526,Friend Request,Friend Request,2015.0,horror,4.9,14.0,2.70805020110221,2.107,2015-07-01,9900000.0,3759078.0,11310835.0,0.14250858585858586,7.0,Jul,horror
